Imagem,Tipo_Ruido,Intensidade,Entropia,Complexidade,dx,dy,D,timestamp
Lena,Gaussian,0.0,0.9207115698897212,0.10536614050293279,2,2,4,20251210_020455
Lena,Gaussian,0.1,0.9830657479615269,0.03462933302142634,2,2,4,20251210_020455
Lena,Gaussian,0.2,0.9796878722539247,0.04112891303161252,2,2,4,20251210_020455
Lena,Gaussian,0.3,0.9771459354448251,0.04604822699383269,2,2,4,20251210_020455
Lena,Gaussian,0.4,0.9760835758356871,0.04811890533004505,2,2,4,20251210_020455
Lena,Gaussian,0.5,0.9772519651142093,0.04598427926933922,2,2,4,20251210_020455
Lena,Gaussian,0.6,0.979445010174243,0.041615842084124145,2,2,4,20251210_020455
Lena,Gaussian,0.7,0.9810675840381324,0.03827925442745862,2,2,4,20251210_020455
Rocket,Gaussian,0.0,0.7926255741659001,0.21964143376464018,2,2,4,20251210_020455
Rocket,Gaussian,0.1,0.9784568246163123,0.043779201865253,2,2,4,20251210_020455
Rocket,Gaussian,0.2,0.9616409297390223,0.07594403818949806,2,2,4,20251210_020455
Rocket,Gaussian,0.3,0.9510684646031763,0.09536362399510286,2,2,4,20251210_020455
Rocket,Gaussian,0.4,0.951363591185368,0.09470418058553932,2,2,4,20251210_020455
Rocket,Gaussian,0.5,0.957652337448754,0.08319839814063318,2,2,4,20251210_020455
Rocket,Gaussian,0.6,0.9645791369347926,0.06990296798231979,2,2,4,20251210_020455
Rocket,Gaussian,0.7,0.9704637566003289,0.05856222857211467,2,2,4,20251210_020455
Chess,Gaussian,0.0,0.05566440900797892,0.053944541454031714,2,2,4,20251210_020455
Chess,Gaussian,0.1,0.9663457567512395,0.06593743653002562,2,2,4,20251210_020455
Chess,Gaussian,0.2,0.9837847281164851,0.03274091326291739,2,2,4,20251210_020455
Chess,Gaussian,0.3,0.9935350095581394,0.013184456071572924,2,2,4,20251210_020455
Chess,Gaussian,0.4,0.9964977780879266,0.0071557594293818385,2,2,4,20251210_020455
Chess,Gaussian,0.5,0.995753279690539,0.00861036089665657,2,2,4,20251210_020455
Chess,Gaussian,0.6,0.9937925879829752,0.012615473517230457,2,2,4,20251210_020455
Chess,Gaussian,0.7,0.9916473948157548,0.016990718365510627,2,2,4,20251210_020455
