Imagem,Tipo_Ruido,Intensidade,Entropia,Complexidade,dx,dy,D,timestamp
Lena,poisson,0.0,0.9207115698897212,0.10536614050293279,2,2,4,20251210_020455
Lena,poisson,0.5,0.9408777458079859,0.07266769526830216,2,2,4,20251210_020455
Lena,poisson,1.0,0.9423034852994329,0.06989993128192806,2,2,4,20251210_020455
Lena,poisson,2.0,0.9422195325045629,0.06921295659133565,2,2,4,20251210_020455
Lena,poisson,4.0,0.940975387948534,0.07003905286383816,2,2,4,20251210_020455
Lena,poisson,8.0,0.9374032616245863,0.07378677727630321,2,2,4,20251210_020455
Lena,poisson,16.0,0.9316508379877095,0.08017036648470806,2,2,4,20251210_020455
Rocket,poisson,0.0,0.7926255741659001,0.21964143376464018,2,2,4,20251210_020455
Rocket,poisson,0.5,0.9875878886485739,0.025323295399013002,2,2,4,20251210_020455
Rocket,poisson,1.0,0.9866113951936981,0.02734238801728418,2,2,4,20251210_020455
Rocket,poisson,2.0,0.9846615199420607,0.031379119426080765,2,2,4,20251210_020455
Rocket,poisson,4.0,0.9811161581105958,0.03854297486097043,2,2,4,20251210_020455
Rocket,poisson,8.0,0.9743871493169133,0.05195762596321759,2,2,4,20251210_020455
Rocket,poisson,16.0,0.9636070271557428,0.0721235911297431,2,2,4,20251210_020455
Chess,poisson,0.0,0.05566440900797892,0.053944541454031714,2,2,4,20251210_020455
Chess,poisson,0.5,0.8933063628008046,0.15771619058361805,2,2,4,20251210_020455
Chess,poisson,1.0,0.8946559063054242,0.1545570941000669,2,2,4,20251210_020455
Chess,poisson,2.0,0.9023508127522434,0.1461099850552764,2,2,4,20251210_020455
Chess,poisson,4.0,0.8995353369319949,0.14766890237332564,2,2,4,20251210_020455
Chess,poisson,8.0,0.8958703460563993,0.15119168015339704,2,2,4,20251210_020455
Chess,poisson,16.0,0.8881916906920946,0.1616410111160462,2,2,4,20251210_020455
