Imagem,Tipo_Ruido,Intensidade,Entropia,Complexidade,dx,dy,D,timestamp
Lena,sp,0.0,0.9207115698897212,0.10536614050293279,2,2,4,20251210_020455
Lena,sp,0.1,0.921603530374343,0.12090110260633304,2,2,4,20251210_020455
Lena,sp,0.2,0.8809619080425181,0.18682676134535484,2,2,4,20251210_020455
Lena,sp,0.3,0.8208600473496528,0.25928179852695477,2,2,4,20251210_020455
Lena,sp,0.4,0.7158280908436028,0.34411608028312485,2,2,4,20251210_020455
Lena,sp,0.5,0.49019071292814775,0.41459336806423286,2,2,4,20251210_020455
Rocket,sp,0.0,0.7926255741659001,0.21964143376464018,2,2,4,20251210_020455
Rocket,sp,0.1,0.8268023821368142,0.2372395301826216,2,2,4,20251210_020455
Rocket,sp,0.2,0.7866378414979827,0.3047092011252822,2,2,4,20251210_020455
Rocket,sp,0.3,0.7236152560424677,0.36764076914922095,2,2,4,20251210_020455
Rocket,sp,0.4,0.6449768378016095,0.40964482306890737,2,2,4,20251210_020455
Rocket,sp,0.5,0.4902657064897451,0.4146499580197785,2,2,4,20251210_020455
Chess,sp,0.0,0.05566440900797892,0.053944541454031714,2,2,4,20251210_020455
Chess,sp,0.1,0.48892529930753725,0.34248417505928275,2,2,4,20251210_020455
Chess,sp,0.2,0.6618797786563194,0.37728082454952905,2,2,4,20251210_020455
Chess,sp,0.3,0.7155293740973452,0.3770990459213001,2,2,4,20251210_020455
Chess,sp,0.4,0.6852035137755327,0.39223822436599903,2,2,4,20251210_020455
Chess,sp,0.5,0.48997124848504575,0.41442760335543927,2,2,4,20251210_020455
