Imagem,Tipo_Ruido,Intensidade,Entropia,Complexidade,dx,dy,D,timestamp
Lena,speckle,0.0,0.9207115698897212,0.10536614050293279,2,2,4,20251210_020455
Lena,speckle,0.1,0.9433358049718534,0.06851849598451977,2,2,4,20251210_020455
Lena,speckle,0.2,0.9443724114071987,0.0670415677679943,2,2,4,20251210_020455
Lena,speckle,0.3,0.9439656751460488,0.0677453311919594,2,2,4,20251210_020455
Lena,speckle,0.4,0.942729232653148,0.07042174242417046,2,2,4,20251210_020455
Lena,speckle,0.5,0.9414471964083861,0.07305203433442994,2,2,4,20251210_020455
Lena,speckle,0.6,0.9405162935503678,0.0749147277831398,2,2,4,20251210_020455
Lena,speckle,0.7,0.9392510754942118,0.07734792917721506,2,2,4,20251210_020455
Rocket,speckle,0.0,0.7926255741659001,0.21964143376464018,2,2,4,20251210_020455
Rocket,speckle,0.1,0.9872161475074456,0.026086081129513043,2,2,4,20251210_020455
Rocket,speckle,0.2,0.9835042478147822,0.033653921055415356,2,2,4,20251210_020455
Rocket,speckle,0.3,0.9781493795642346,0.04442535360691976,2,2,4,20251210_020455
Rocket,speckle,0.4,0.9719518128978492,0.05651389237841907,2,2,4,20251210_020455
Rocket,speckle,0.5,0.9654458850455526,0.06884516161747455,2,2,4,20251210_020455
Rocket,speckle,0.6,0.9599233963386188,0.07919152757786468,2,2,4,20251210_020455
Rocket,speckle,0.7,0.9550318914278404,0.0880032239060748,2,2,4,20251210_020455
Chess,speckle,0.0,0.05566440900797892,0.053944541454031714,2,2,4,20251210_020455
Chess,speckle,0.1,0.9017454246571946,0.14607589764750042,2,2,4,20251210_020455
Chess,speckle,0.2,0.908182750941581,0.134876940624879,2,2,4,20251210_020455
Chess,speckle,0.3,0.9132490526181187,0.12670814270158842,2,2,4,20251210_020455
Chess,speckle,0.4,0.9170820612547433,0.1212776083878906,2,2,4,20251210_020455
Chess,speckle,0.5,0.9176939546370522,0.12069235502878406,2,2,4,20251210_020455
Chess,speckle,0.6,0.9186589787919948,0.1203891974082224,2,2,4,20251210_020455
Chess,speckle,0.7,0.9169264180357817,0.12345680798436875,2,2,4,20251210_020455
